,title,author,url,summary,full_text,key_words,pub_date,data_source
0,Carriers: act swiftly if you want to save the low-end smartphone,Chris Ziegler,https://www.theverge.com/2011/04/30/carriers-act-swiftly-save-low-end-smartphone,"In turn, that leaves low-end devices priced right out of the market altogether. In fact, I'd argue that the obscurity is the one and only reason devices like the Comet have a market right now. So far, American carriers seem reluctant to deal with it, but here's the thing: the answer doesn't simply have to be for low-end smartphones to go away. Not everyone needs an iPhone, an Atrix, or a G2x, but it is the responsibility of the carriers to reward their customers appropriately for choosing cheaper devices upfront. So, for example, if you buy the Comet, you pay nothing upfront and the first $50 worth of service would be covered.","For years, I've been talking about the effects of price pressure on the subsidized smartphone business -- the phenomenon that, when left unchecked, results in too many market segments squeezed into far too narrow of a price range. In turn, that leaves low-end devices priced right out of the market altogether. Of course, smartphones pervade every nook and cranny of your carrier's lineup more completely nowadays than ever before, and I've found that it's leading to some truly strange pricing problems.  That was really driven home for me today when I took a look at the first page of of Android devices on T-Mobile's online store. In the span of just $50, you range all the way from the lowly Comet -- sourced from Huawei with a QVGA display -- up to the relatively powerful, capable, and competent myTouch 4G with HSPA+ and a front-facing cam. Granted, the myTouch is refurbished, but you've still got access to the Optimus T and myTouch 3G for free -- and both of those devices are head and shoulders above the Comet, Charm, CLIQ, or CLIQ XT. Every one of those currently go for $0 on contract. And when you look at the total cost of ownership over the span of a two-year commitment, the difference in cost between a free device and a $50 one is all but meaningless.  It's like your realtor showing you two homes: a one-bedroom shack with a leaky roof for $100,000, or an eight-bedroom mansion with a pool for $110,000, both with the same maintenance costs over time (far-fetched, I know, but stay with me on the analogy). Which would you choose? Even if you had to stretch a little bit, you'd obviously aim for the mansion. And what's especially troubling is that for your average consumer, the difference in quality and capability between a Comet and an Optimus T is far less obvious than the difference between a shack and a mansion at the point of purchase. In fact, I'd argue that the obscurity is the one and only reason devices like the Comet have a market right now.  So far, American carriers seem reluctant to deal with it, but here's the thing: the answer doesn't simply have to be for low-end smartphones to go away. Not everyone needs an iPhone, an Atrix, or a G2x, but it is the responsibility of the carriers to reward their customers appropriately for choosing cheaper devices upfront. That's the place where they're failing. I think there are a couple possible options on the table:  Low-end smartphones could be offered with cheaper, exclusive plans. T-Mobile tried this with the Nokia Nuron, which could be activated with a relatively cheap $10 unlimited data plan typically reserved for dumbphones. Over the course of your contract, the benefits really start to add up -- and I bet that carriers' internal stats support my belief that owners of devices like the Comet use significantly less data than owners of midrange and high-end devices (those in the $100 to $300 range). The downside is that there would be a constant barrage of controversial gray areas about what phones should be eligible for the cheaper plans... and plus, as devices get cheaper over time, you'd need to decide whether to make them eligible midstream. Pretty hairy.  T-Mobile tried this with the Nokia Nuron, which could be activated with a relatively cheap $10 unlimited data plan typically reserved for dumbphones. Over the course of your contract, the benefits really start to add up -- and I bet that carriers' internal stats support my belief that owners of devices like the Comet use significantly less data than owners of midrange and high-end devices (those in the $100 to $300 range). The downside is that there would be a constant barrage of controversial gray areas about what phones should be eligible for the cheaper plans... and plus, as devices get cheaper over time, you'd need to decide whether to make them eligible midstream. Pretty hairy. More creative subsidies. Right now, there seems to be an implicit understanding that the floor is $0 on contract. But why? If the Optimus T is free, I think you can make the argument that the Comet is worth about $-50, so either pay the buyer upfront (say, with a prepaid card) or -- probably the more compelling and manageable option -- offer a bill credit. So, for example, if you buy the Comet, you pay nothing upfront and the first $50 worth of service would be covered. Sprint ran a promotion recently that involved bill credits, so I know for a fact these carriers have the technical capability to manage an option like this.","eligible, lowend, devices, comet, swiftly, carriers, act, range, owners, 50, cheaper, contract, data, smartphone, save",2011-04-30,The Verge
1,This is my next Podcast 004 - 04.29.2011,Trent Wolbe,https://www.theverge.com/2011/04/29/podcast-004-04-29-2011,"We're BACK, again, and bigger than ever in all sorts of dimensions. The first dimension we're bigger in is length. At a mind-bending 1:43:47, we're a good 4:52 longer than episode 2, which previously held the record for longest-ever This is my next Podcast Podcast. The second dimension we're bigger in is personality, or personnel (you be the judge). Five full-sized humans inhabit the co-host space here on #004, and they all have so many thoughts about the week in tech that it leads to the third and final dimension in which we're bigger this week: the informational dimension.","We're BACK, again, and bigger than ever in all sorts of dimensions. The first dimension we're bigger in is length. At a mind-bending 1:43:47, we're a good 4:52 longer than episode 2, which previously held the record for longest-ever This is my next Podcast Podcast. The second dimension we're bigger in is personality, or personnel (you be the judge). Five full-sized humans inhabit the co-host space here on #004, and they all have so many thoughts about the week in tech that it leads to the third and final dimension in which we're bigger this week: the informational dimension. Roll with us.","tech, 004, space, thoughts, 04292011, roll, week, second, dimension, bigger, podcast, sorts",2011-04-29,The Verge
2,Samsung sues Apple for infringing 10 patents: a closerlook,Nilay Patel,https://www.theverge.com/2011/04/29/samsung-sues-apple-infringing-10-patents-closer,"Tim Cook said the Apple and Samsung talked about their issues ""for some time"" before Apple went to the courts, so it's likely Samsung's attorneys have been gearing up for litigation for a while now. Samsung mostly spends the introduction and background section of the complaint talking about how awesome it is, but there are a couple interesting tidbits. First, Samsung spent $35 billion on R&D from 2005 to 2010, which contributed to a sizable patent portfolio: 28,700 US patents, 4,551 of which were issued in 2010. Let's look at them in order -- the UMTS / W-CMDA patents come first, and then the UI patents. Look for the big first question with these patents to be focused on whether or not they're essential.","It was more or less inevitable that Samsung would respond to Apple's patent and trademark lawsuit with a lawsuit of its own, and here we are: Sammy filed a complaint in the Northern District of California yesterday, alleging 10 counts of patent infringement against Apple. Seven of the patents are to do with UMTS / W-CDMA 3G cellular communications, and the remaining three cover various UI elements -- we'll step through them in detail below.  One interesting note about Samsung's response: this complaint is a standalone that doesn't include the reply to Apple's lawsuit. It's not required for the reply and countersuit to be bundled up, but it's telling that Samsung was prepared to hit back with four patent lawsuits in four countries within a week of Apple's initial filing. Tim Cook said the Apple and Samsung talked about their issues ""for some time"" before Apple went to the courts, so it's likely Samsung's attorneys have been gearing up for litigation for a while now. (Oddly, it doesn't appear that anyone's actually seen the filings Samsung claims to have made in Korea, Japan, and Germany, so those are still rather mysterious.) The real fireworks will come when Samsung files its reply to Apple's complaint, which should happen sometime soon -- I'd expect the court to then consolidate these two proceedings into one.  Okay, all that said -- grab a copy of the complaint and let's break down what Samsung's claiming in this lawsuit, shall we?  Samsung mostly spends the introduction and background section of the complaint talking about how awesome it is, but there are a couple interesting tidbits. First, Samsung spent $35 billion on R&D from 2005 to 2010, which contributed to a sizable patent portfolio: 28,700 US patents, 4,551 of which were issued in 2010. Oh, and 5,933 of those patents are related to telecommunications. That's about right considering Samsung is the second-largest phone maker in the world, but it also means that Samsung had a sizable selection of potential claims to pick from when formulating this lawsuit -- and it picked just these 10. Let's look at them in order -- the UMTS / W-CMDA patents come first, and then the UI patents.  US Patent #7,675,941, Method and Apparatus for Transmitting/Receiving Packet Data Using Pre-Defined Length Indicator in a Mobile Communication System is very technical patent describing a system to increase mobile network efficiency by using header data more effectively.  US Patent #7,362,867, Apparatus and Method for Generating Scrambling Code in UMTS Mobile Communication System, is another highly-technical UMTS / W-CMDA patent that covers generating unique scrambling codes for downlink transmitters.  U.S. Patent #7,447,516, Method and Apparatus for Data Transmission in a Mobile Telecommunication System Supporting Enhanced Uplink Service, covers using two radio channels to transmit data using a set amount of power.  U.S. Patent #7,200,792, Interleaving Apparatus and Method for Symbol Mapping in an HSDPA Mobile Communication System, is... well, it looks like it's for quickly writing a data stream in a systematic way using something called a ""turbo encoder,"" which sounds awesome.  U.S. Patent #7,386,001, Apparatus and Method for Channel Coding and Multiplexing in CDMA Communication System, covers taking multiple data frames that are received out of order across multiple channels and putting them back together efficiently.  US Patent #7,050,410, Apparatus and Method for Controlling a Demultiplexer and a Multiplexer Used for Rate Matching in a Mobile Communication System, covers a transmitter that encodes an input stream into three interleaved streams that are then broken up into different radio frames.  U.S. Patent #6,928,604 Turbo Encoding/Decoding Device and Method for Processing Frame Data According to QOS, has what is clearly the best name of all the claimed patents. (""Turbo"" definitely needs to come back as a word. Galaxy S Turbo -- think about it, Samsung.) Anyway, this one covers taking data frames of variable sizes and combining them into a ""super frame"" that can then be turbo encoded.  Okay, those are the seven super-wonky UMTS / W-CDMA patents. It's extremely notable that Samsung doesn't indicate whether any of these patents are essential to the UMTS or W-CDMA standards -- if they are, Samsung is bound by its membership in the 3GPP standards body to license them under ""fair, reasonable, and non-discriminatory"" (or FRAND) terms. (That's the fight Apple is in with Nokia, if you'll recall.) If these patents aren't essential to UMTS or W-CDMA -- if they're just improvements on the standard, for instance -- then Samsung has to prove the the iPhone makes use of the patented technologies, which won't be an easy road. Look for the big first question with these patents to be focused on whether or not they're essential.  The next three are UI patents, so they're a little easier to understand.  U.S. Patent #6,292,179, Software Keyboard System Using Trace of Stylus on a Touch Screen and Method for Recognizing Key Code Using the Same, is the first UI patent, covering software keyboard functionality. Interestingly, it specifically requires that the keys be ""pressed by a stylus,"" which makes it an odd choice for inclusion here -- at some point Samsung will undoubtedly have to argue that a user's finger is equivalent to a stylus.  U.S. Patent #7,009,626, Systems and Methods for Generating Visual Representations of Graphical Data and Digital Document Processing, covers displaying a low-resolution image preview while the full-resolution images loads in the background -- think zooming and panning in the iOS Maps app.  U.S. Patent #7,069,055 Mobile Telephone Capable of Displaying World Time and Method for Controlling the Same, is a patent on calculating time in multiple cities based on a reference time signal sent from a remote system and the local time of the device. Yes, seriously.","using, samsung, umts, method, closerlook, mobile, infringing, system, patents, data, covers, patent, apple, sues",2011-04-29,The Verge
3,"This is my next Podcast, live at 6:30PM ET / 11:30PM GMT!",Nilay Patel,https://www.theverge.com/2011/04/28/podcast-live-630pm-1030pm-gmt-2,"We're trying something new today -- the entire TIMN gang will be live on the podcast! Yes, that's Josh, Paul, Nilay, Ross, Chris, and the singular Ms. Joanna Stern, all podcasting live... at the same time. Can you handle it? Let's hope so, because it's happening. We'll be live at 6:30PM EST / 11:30PM GMT, but the chat below is open, so get comfy... and get ready.","We're trying something new today -- the entire TIMN gang will be live on the podcast! Yes, that's Josh, Paul, Nilay, Ross, Chris, and the singular Ms. Joanna Stern, all podcasting live... at the same time. Can you handle it? Let's hope so, because it's happening. We'll be live at 6:30PM EST / 11:30PM GMT, but the chat below is open, so get comfy... and get ready.","stern, et, trying, singular, today, yes, ross, timn, live, 1130pm, gmt, 630pm, ready, podcast, thats",2011-04-28,The Verge
4,"Android 2.3.4 bundles Google Talk video calling, rolling outto Nexus S soon",Chris Ziegler,https://www.theverge.com/2011/04/28/android-2-3-4-bundles-google-talk-video-calling-rolling-nexus,"This shouldn't come as a big surprise -- especially in light of Honeycomb's support and the presence of a front camera on the Nexus S -- but Google has just announced that Android 2.3.4 includes Google Talk video and voice calling. As you might expect, it works with any type of Google Talk-running device on the other end (tablet, PC, so on) and will be coming to the Nexus S first before rolling out to other Gingerbread phones in the future. Look for the update ""in the next few weeks.""","This shouldn't come as a big surprise -- especially in light of Honeycomb's support and the presence of a front camera on the Nexus S -- but Google has just announced that Android 2.3.4 includes Google Talk video and voice calling. As you might expect, it works with any type of Google Talk-running device on the other end (tablet, PC, so on) and will be coming to the Nexus S first before rolling out to other Gingerbread phones in the future. Look for the update ""in the next few weeks.""","s, rolling, google, calling, update, type, nexus, bundles, voice, talkrunning, outto, talk, soon, video, works, weeks",2011-04-28,The Verge
5,"Sony, it's time to act like Sony again",Paul Miller,https://www.theverge.com/2011/4/28/2514900/sony-its-time-to-act-like-sony-again,"You're playing catch up or second fiddle in almost all of your major markets: computers, mobile devices, TVs, video games. Still, through it all, I still love Sony as a brand. You're ""dealing with it,"" sure, but this isn't a new problem (oh, the rich history of PSP jailbreaks! You're never going to win in a straight fight, where you lose if your console gets hacked -- because it will. Chris wants you to reopen flagship Sony Galleries -- specifically, the beautiful one on Chicago's Magnificent Mile.","Let's face it, Sony, you aren't doing much right. You can't keep the PlayStation Network online, which just happens to be your primary gaming and content delivery service. Your multitude of business units still seem to be at odds with one another. You're playing catch up or second fiddle in almost all of your major markets: computers, mobile devices, TVs, video games. What's most troubling is that your best ideas never seem to hit the market soon enough, or with enough polish, to actually move the needle.  Still, through it all, I still love Sony as a brand. It represents to me a tasteful, yet aggressively futuristic aesthetic, paired with the best technology money can buy. Even these days I can still see all those elements in place -- some beautiful hardware design here, some technical daring there, some can't-help-but-love-it world domination aspirations still lurking. So, what can be done to bring all these scattered pieces back together and build some truly great products that befit this storied brand? Well, I have some ideas.  Figure out your console jailbreak problem  First off, you have a big problem right now with security. You're ""dealing with it,"" sure, but this isn't a new problem (oh, the rich history of PSP jailbreaks!), and I don't see what you're doing to fight the core issue. See, you don't just run the risk of hackers hacking and users using those hacks, you dare hackers to hack and dare users to use those hacks. You're never going to win in a straight fight, where you lose if your console gets hacked -- because it will. What has to be done is that you have to separate your services out from the core product. You have to make your services so valuable that people either decide not to hack in fear of losing them (which keeps most potential Xbox 360 hackers in check), and / or your services are separate, secure and distinct enough that even a user of a hacked device still wants to be in your ecosystem (which keeps many iPhone jailbreakers paying for apps).  Oh, and don't even get me started on the removal of Linux from the PS3. It was a slap in the face of users, whether they used it or not. In fact, you should really be going in the other direction. This is an opportunity you have to solve something that Apple hasn't figured out yet: letting users sideload non-blessed applications (and games!) that can take full advantage of your hardware (and even your SDK!) without going through your locked down (Sony-gets-a-commission!) channels. I know that sounds anathema to the concept of a software-subsidized game console model, but it also removes the primary impetus for your hardware to be hacked, allows for greater experimentation from up and coming developers, and gives users a choice they can't really get elsewhere. I think we've seen plenty of proof already that consumers will pay for convenience and curation.  Bring back the Walkman brand  ""Walkman"" is one of the most famous brands in all of consumer electronics. Maybe even the famous brand. I don't know who would win in a fight, iPod or Walkman, but I'd be rooting for Walkman. Anyone older than 25 can still easily remember wanting a Walkman cassette player, and then wanting a Discman CD player. That desire hasn't gone away, you just stopped putting the Walkman brand on anything we wanted. It's so diluted now it's almost unrecognizable. As a culture we've moved toward very specific objects of desire: I don't want an MP3 player, I want an iPod; I don't want an Android phone, I want an Evo 4G; I don't want a tablet, I want an iPad. The Walkman ""line"" doesn't mean anything, the word needs to be centered on one single amazing device that's iterated on every year or twice a year. I don't care if it's a tablet or a phone, but it should probably be one of those. Blow it out. Maybe rest the brand for a year and then explode on the scene with the best product and a huge marketing push. People will take notice.  Also, remember that when it comes to a designing a product (hopefully that product), you have something that very few of your competitors do: decades of design legacy. Use it! At some point, consumers are going to get tired of buying a crappy plastic phone every year and start looking around for something that can last. Phone and tablet internals are already plenty powerful for most people, what they want is something that looks and feels great, works flawlessly, has a long-lasting battery, and makes calls. Succeed at that and they'll want to hold onto the phone for years if actually build them something that can last. Aren't you tired of Apple's recent innovations popping up in the MoMA every few years? Do you want to build a slightly better chunk of plastic than Samsung, or build something whose design will outlast its technical relevance?  Need a little inspiration? Check out some of your triumphs from over the years:  Previous Next              1 / 8 Previous Next              1 / 8      Ship things well  One of your biggest problems is shipping things when you say you'll ship them. It's almost a running joke. ""Oh, Sony said spring? So that means we'll see it in the fall. Hopefully."" Obviously this is a much easier problem to point out than it is to fix, but you need to figure it out. Somewhere there's a disconnect between your ideas (which are usually great) and your execution (which is usually sloppy). Typically your hardware is pretty tight, but your software lags behind, either holding up a launch, or, even worse, making us wish you had held up the launch to iron out the kinks.  It's so painful to see great ideas wasted on poor execution. Take the PSP Go and Xperia Play, for instance. They're both great, forward-looking ideas, in principle. A real gaming console without a removable cartridge or disc! A phone with real buttons that can play real console-style video games! But of course the whole point of these things was that there would be software -- and there wasn't. What's better, a phone that can play some crappy app store games, of which there are thousands, or a phone that can play some great console titles, of which there are ""one"" or ""a few.""  Oh, and while we're on the topic of the Xperia Play: I think you have a great idea with the whole ""PlayStation Certified"" concept. Now let's make sure it's more than a concept, yeah? If this isn't easily accessible and compelling to all the myriad Android manufacturers out there, and new game developers as well, they're going to find some other way to get quality games in the hands of users, and you're going to be worse off than when you started.  A couple personal appeals  Nilay asked me to ask you to build another huge-ass Clié like the PEG-NZ90 and send it to him. And a Vaio UX. Do you have his address? I can get it to you, in case you don't.  I'd like you to restart your robotics program and sell me a Qrio. I guess I'd like an Aibo as well, but we all know the future is humanoids. How does next week sound?  Joanna wants a Mylo phone. With a killer keyboard. I don't really think that's too much to ask.  Chris wants you to reopen flagship Sony Galleries -- specifically, the beautiful one on Chicago's Magnificent Mile. Is there a better way to spend a lazy Sunday afternoon than playing with a bunch of Aibos?  Oh, and Ross was wondering if you could revive the Intelligent Qube franchise. He says a quick, smart action-puzzler with 3D visuals is much better positioned these days than it was back in '97.  Wrap-up","console, dont, great, act, phone, walkman, users, going, youre, play, sony, games",2011-04-28,The Verge
6,"Verizon endures a full day without LTE, owes everyone an explanation",Chris Ziegler,https://www.theverge.com/2011/04/28/verizon-endures-full-day-lte,"Verizon's brand spanking new LTE network was down -- nationwide -- for effectively all of Wednesday. HTC Thunderbolts seemed to be the hardest-hit, often falling all the way down to 1x (read: really, really slow) data speeds, bypassing EV-DO entirely. And coincidentally, my Novatel MiFi 4510L was acting the exact same way -- it was unable to connect either to LTE or EV-DO. For an outage that affects literally every LTE market on the map, a day isn't in even in the ballpark of ""quick."" For a company that prides itself on rock-solid, business-class network reliability, Verizon owes us three things:A detailed breakdown of what went wrong, and why.","Verizon's brand spanking new LTE network was down -- nationwide -- for effectively all of Wednesday. There were sporadic reports of successful connections by users here and there, but by and large, it was dead. HTC Thunderbolts seemed to be the hardest-hit, often falling all the way down to 1x (read: really, really slow) data speeds, bypassing EV-DO entirely. And coincidentally, my Novatel MiFi 4510L was acting the exact same way -- it was unable to connect either to LTE or EV-DO. Even worse, even though it said it was connected to 1x, I couldn't get anything to load while using it. That might just be because I only need websites and services that require reasonable bandwidth, but the net effect for me is the same: the MiFi was useless.  Had EV-DO continued to operate reliably, this wouldn't have been a big deal, particularly because users pay no more for LTE service than they do for EV-DO service -- and EV-DO is still reasonably fast. Users in LTE markets would definitely notice the slowdown, but they likely wouldn't have been impacted to the point where their devices were basically paperweights.  Phone Scoop received a rather flippant statement from a Verizon spokesman this morning that the company's ""network engineers and vendors quickly identified the issue and solved it."" Incorrect. For an outage that affects literally every LTE market on the map, a day isn't in even in the ballpark of ""quick."" Furthermore, they didn't ""solve"" it, since modems will apparently still have 3G-4G handoff issues that will ""improve over time.""  For a company that prides itself on rock-solid, business-class network reliability, Verizon owes us three things:  A detailed breakdown of what went wrong, and why.  An explanation of how they intend to prevent it from happening again.  For Thunderbolt and LTE modem / hotspot owners, enough compensation to prove they take uptime seriously.","mifi, owes, wouldnt, way, lte, evdo, day, users, network, service, really, verizon, endures, explanation",2011-04-28,The Verge
7,Acer Iconia Tab A500 review,Joanna Stern,https://www.theverge.com/2011/10/23/2508942/acer-iconia-tab-a500-review,"We've been hearing lots of talk of tear-shaped hardware lately, and coincidentally, the Iconia Tab A500 follows a similar design philosophy. (Note: I still haven't gotten the ASUS Transformer to review so I'm not making direct comparisons to that product here.) It's a fierce tablet size war out there, and while the Iconia Tab A500 stacks up rather well against its Honeycomb rivals, the iPad 2 wins by quite a bit on both thickness and weight. The Iconia does beat the rest on port selectionThe Iconia does beat the rest on port selection; its left edge is home to a 3.5mm headphone jack and a mini-HDMI port, while the right side holds full-sized USB and Micro USB ports. I finally got it to recognize a USB flash drive but only in the Gallery application.","We've been hearing lots of talk of tear-shaped hardware lately, and coincidentally, the Iconia Tab A500 follows a similar design philosophy. When held in landscape mode, the right and left edges funnel inwards, and while the aesthetic choice may seem minor, it actually made it easier to hold than the Xoom's boxy, chiseled back. There's also another major design component Acer's got Motorola beat on – unlike the Xoom's power button, which is located on the backside, the Iconia's glowing on / off nub lives on the left edge. Again, it may seem like a small detail, but it makes a world of difference when you want to wake up a tablet immediately and get online. My only complaint about that button is that it and the plastic edge it lives on feels a bit cheap in comparison to the rest of the slab, however, those are really the only parts of the tablet that feel a bit cheap. The silver, brushed aluminum, which covers the back and flows onto the front, doesn't only look classy but gives the entire product a nice rigidity. As I intimated in the introduction, I was a bit worried about the overall quality of the device, but I've really been pleasantly surprised at how sturdy the hardware seems. (Note: I still haven't gotten the ASUS Transformer to review so I'm not making direct comparisons to that product here.)  It's a fierce tablet size war out there, and while the Iconia Tab A500 stacks up rather well against its Honeycomb rivals, the iPad 2 wins by quite a bit on both thickness and weight. The handy chart below has everything you need to know, and though the .52-inch / 1.6-inch Iconia is slightly heavier than the Xoom, I wouldn't put much weight on those numbers -- in hand it just feels lighter and slimmer. Of course, neither of these 10-inch Android tablets are as easy to hold as the 9.7-inch iPad 2 – for that, we must wait on Samsung's .33-inch Galaxy Tab 10.1.  The Iconia does beat the rest on port selection  The Iconia does beat the rest on port selection; its left edge is home to a 3.5mm headphone jack and a mini-HDMI port, while the right side holds full-sized USB and Micro USB ports. Under the port cover on the top you'll find a MicroSD card slot, taped-over SIM card slot, a rather stiff volume rocker, and a rotation lock switch. The USB 2.0 port is certainty a bragging right for the Iconia, but it really shouldn't be at the moment – I couldn't get it to read an external hard drive or transfer files from my laptop. I finally got it to recognize a USB flash drive but only in the Gallery application.","a500, right, rest, acer, tablet, bit, usb, left, port, really, tab, review, iconia",2011-10-23,The Verge
8,"Google Docs for Android goes native (sort of), new app letsyou capture text with camera",Ross Miller,https://www.theverge.com/2011/04/27/google-docs-for-android,"Mobile editing has been around for Google Docs since November last year. Today the company has launched a native version of Google Docs for Android . The biggest takeaway here is creating a new document from photo, wherein you can use your camera to capture text and Docs will translate it to editable text. It's far from perfect — in one magazine blurb, it replaced every 'w' with two 'v's instead, and it gave up entirely trying to capture this book cover for Jaron Lanier's You Are Not a Gadget — but it's certainly more convenient than trying to thumb the keys. There's a widget that let's you jump immediately into photographing a block of text from the home page, as well as giving you hotkeys for starred docs and creating new documents from scratch.","Mobile editing has been around for Google Docs since November last year. Today the company has launched a native version of Google Docs for Android . That alone got me excited to try it, but aside from a new front-end and sharing options through the platform, the actual editing portion is the web version from before — which is still not as good in use as a dedicated document editor.  The biggest takeaway here is creating a new document from photo, wherein you can use your camera to capture text and Docs will translate it to editable text. It's far from perfect — in one magazine blurb, it replaced every 'w' with two 'v's instead, and it gave up entirely trying to capture this book cover for Jaron Lanier's You Are Not a Gadget — but it's certainly more convenient than trying to thumb the keys. There's a widget that let's you jump immediately into photographing a block of text from the home page, as well as giving you hotkeys for starred docs and creating new documents from scratch.","google, creating, docs, trying, version, camera, letsyou, native, text, widget, app, sort, editing, goes, document, capture",2011-04-27,The Verge
9,"Nokia anxious to shuffle its Symbian coil, outsourcing development to Accenture",Chris Ziegler,https://www.theverge.com/2011/04/27/nokia-anxious-shuffle-symbian-coil-outsourcing-development-accenture,"It's no secret that Nokia's days as a provider of Symbian-powered hardware, software, and services are numbered as it moves its eggs over to the Windows Phone basket -- but I'd been under the assumption that they would be keeping a sizable Symbian engineering staff in-house right up until the moment the last device rolled off the assembly line, some 150 million units down the road. Yeah, well, it's not going to play out that way: instead, FierceWireless reports a Nokia press release issued today detailing that some 3,000 employees will be transferred to consulting firm Accenture, which will then take primary responsibility for the platform's stewardship going forward. The move comes in combination with a planned elimination of another 4,000-odd staff by the end of 2012 with the intention of saving €1 billion ($1.46 billion) in 2013 against 2010's numbers.","It's no secret that Nokia's days as a provider of Symbian-powered hardware, software, and services are numbered as it moves its eggs over to the Windows Phone basket -- but I'd been under the assumption that they would be keeping a sizable Symbian engineering staff in-house right up until the moment the last device rolled off the assembly line, some 150 million units down the road. Yeah, well, it's not going to play out that way: instead, FierceWireless reports a Nokia press release issued today detailing that some 3,000 employees will be transferred to consulting firm Accenture, which will then take primary responsibility for the platform's stewardship going forward. The move comes in combination with a planned elimination of another 4,000-odd staff by the end of 2012 with the intention of saving €1 billion ($1.46 billion) in 2013 against 2010's numbers.","windows, staff, symbianpowered, way, today, transferred, going, anxious, billion, outsourcing, development, nokia, yeah, shuffle, symbian, units, accenture, coil",2011-04-27,The Verge
